,odd src,odd href,odd,silver,odd (2),odd href (2),dbclubcrest src,odd href (3),dbclubcrest src (2),odd href (4),dbnationflag src,swapHeader,swapHeader (2),swapHeader (3),swapHeader (4),swapHeader (5),swapHeader (6),odd (3),odd (4),even src,even href,even,even (2),even href (2),even href (3),even href (4),even (3),even (4),silverrare,bronze,bronzerare,gold,goldrare,legend,carniball,goldif
0,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10480/walter-chavez,Wálter Chavez,66.0,GK,https://wefut.com/club/113746/25,https://static.wefut.com/assets/images/fut25/clubbadges/113746.png,https://wefut.com/league/1014/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,https://wefut.com/nation/57/25,https://static.wefut.com/assets/images/nation_flag/57.jpg,67,63,60,69,22,67,2★,1★,,,,,,,,,,,,,,,,,
1,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/100757.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/330.png,,https://static.wefut.com/assets/images/nation_flag/44.jpg,67,65,60,70,45,62,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10457/adnan-golubovic,Adnan Golubović,GK,https://wefut.com/club/100757/25,https://wefut.com/league/330/25,https://wefut.com/nation/44/25,1★,1★,,,,,,,,
2,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10433/regina-van-eijk,Regina van Eijk,66.0,GK,https://wefut.com/club/131359/25,https://static.wefut.com/assets/images/fut25/clubbadges/131359.png,https://wefut.com/league/2229/25,https://static.wefut.com/assets/images/fut25/leaguebadges/2229.png,https://wefut.com/nation/34/25,https://static.wefut.com/assets/images/nation_flag/34.jpg,67,63,59,66,22,70,2★,1★,,,,,,,,,,,,,,,,,
3,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/101088.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/353.png,,https://static.wefut.com/assets/images/nation_flag/60.jpg,71,57,74,66,27,62,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10388/randall-rodriguez,Randall Rodríguez,GK,https://wefut.com/club/101088/25,https://wefut.com/league/353/25,https://wefut.com/nation/60/25,2★,1★,,,,,,,,
4,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10373/noelia-gil,Noelia Gil,66.0,GK,https://wefut.com/club/116330/25,https://static.wefut.com/assets/images/fut25/clubbadges/116330.png,https://wefut.com/league/2222/25,https://static.wefut.com/assets/images/fut25/leaguebadges/2222.png,https://wefut.com/nation/45/25,https://static.wefut.com/assets/images/nation_flag/45.jpg,70,58,60,70,29,65,2★,1★,,,,,,,,,,,,,,,,,
5,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/100851.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/54.png,,https://static.wefut.com/assets/images/nation_flag/45.jpg,66,65,56,70,25,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10359/pablo-cunat,Pablo Cuñat,GK,https://wefut.com/club/100851/25,https://wefut.com/league/54/25,https://wefut.com/nation/45/25,3★,1★,,,,,,,,
6,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10355/thimothee-lo-tutala,Thimothée Lo-Tutala,66.0,GK,https://wefut.com/club/1952/25,https://static.wefut.com/assets/images/fut25/clubbadges/1952.png,https://wefut.com/league/14/25,https://static.wefut.com/assets/images/fut25/leaguebadges/14.png,https://wefut.com/nation/18/25,https://static.wefut.com/assets/images/nation_flag/18.jpg,66,64,63,68,35,63,2★,1★,,,,,,,,,,,,,,,,,
7,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/15040.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/80.png,,https://static.wefut.com/assets/images/nation_flag/12.jpg,70,62,56,69,21,65,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10350/adam-stejskal,Adam Stejskal,GK,https://wefut.com/club/15040/25,https://wefut.com/league/80/25,https://wefut.com/nation/12/25,3★,1★,,,,,,,,
8,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10324/albert-posiadala,Albert Posiadała,66.0,GK,https://wefut.com/club/417/25,https://static.wefut.com/assets/images/fut25/clubbadges/417.png,https://wefut.com/league/41/25,https://static.wefut.com/assets/images/fut25/leaguebadges/41.png,https://wefut.com/nation/37/25,https://static.wefut.com/assets/images/nation_flag/37.jpg,67,66,64,66,32,67,2★,1★,,,,,,,,,,,,,,,,,
9,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/100135.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/2210.png,,https://static.wefut.com/assets/images/nation_flag/11.jpg,70,65,63,68,45,67,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10321/andreas-christodoulou,Andreas Christodoulou,GK,https://wefut.com/club/100135/25,https://wefut.com/league/2210/25,https://wefut.com/nation/11/25,2★,1★,,,,,,,,
10,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10246/owono,Owono,66.0,GK,https://wefut.com/club/463/25,https://static.wefut.com/assets/images/fut25/clubbadges/463.png,https://wefut.com/league/53/25,https://static.wefut.com/assets/images/fut25/leaguebadges/53.png,https://wefut.com/nation/112/25,https://static.wefut.com/assets/images/nation_flag/112.jpg,68,66,65,65,28,62,3★,1★,,,,,,,,,,,,,,,,,
11,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/116013.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/2216.png,,https://static.wefut.com/assets/images/nation_flag/14.jpg,68,63,74,64,44,62,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10245/sophie-baggaley,Sophie Baggaley,GK,https://wefut.com/club/116013/25,https://wefut.com/league/2216/25,https://wefut.com/nation/14/25,3★,1★,,,,,,,,
12,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10226/mohamed-kone,Mohamed Koné,66.0,GK,https://wefut.com/club/670/25,https://static.wefut.com/assets/images/fut25/clubbadges/670.png,https://wefut.com/league/4/25,https://static.wefut.com/assets/images/fut25/leaguebadges/4.png,https://wefut.com/nation/108/25,https://static.wefut.com/assets/images/nation_flag/108.jpg,66,65,62,69,31,62,3★,1★,,,,,,,,,,,,,,,,,
13,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/1910.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/10.png,,https://static.wefut.com/assets/images/nation_flag/34.jpg,64,66,64,68,18,63,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10223/robin-roefs,Robin Roefs,GK,https://wefut.com/club/1910/25,https://wefut.com/league/10/25,https://wefut.com/nation/34/25,3★,1★,,,,,,,,
14,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10214/sam-tickle,Sam Tickle,66.0,GK,https://wefut.com/club/1917/25,https://static.wefut.com/assets/images/fut25/clubbadges/1917.png,https://wefut.com/league/60/25,https://static.wefut.com/assets/images/fut25/leaguebadges/60.png,https://wefut.com/nation/14/25,https://static.wefut.com/assets/images/nation_flag/14.jpg,65,65,64,66,34,64,2★,1★,,,,,,,,,,,,,,,,,
15,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/116323.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,,https://static.wefut.com/assets/images/nation_flag/58.jpg,64,65,66,63,24,68,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10164/wilson-quinonez,Wilson Quiñónez,GK,https://wefut.com/club/116323/25,https://wefut.com/league/1014/25,https://wefut.com/nation/58/25,3★,1★,,,,,,,,
16,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10142/gonzalo-valle,Gonzalo Valle,66.0,GK,https://wefut.com/club/110986/25,https://static.wefut.com/assets/images/fut25/clubbadges/110986.png,https://wefut.com/league/1003/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1003.png,https://wefut.com/nation/57/25,https://static.wefut.com/assets/images/nation_flag/57.jpg,66,65,60,70,26,60,2★,1★,,,,,,,,,,,,,,,,,
17,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/467.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/54.png,,https://static.wefut.com/assets/images/nation_flag/45.jpg,64,66,61,69,27,64,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10127/magunagoitia,Magunagoitia,GK,https://wefut.com/club/467/25,https://wefut.com/league/54/25,https://wefut.com/nation/45/25,3★,1★,,,,,,,,
18,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10124/canizares,Cañizares,66.0,GK,https://wefut.com/club/489/25,https://static.wefut.com/assets/images/fut25/clubbadges/489.png,https://wefut.com/league/308/25,https://static.wefut.com/assets/images/fut25/leaguebadges/308.png,https://wefut.com/nation/45/25,https://static.wefut.com/assets/images/nation_flag/45.jpg,66,68,67,62,32,65,3★,1★,,,,,,,,,,,,,,,,,
19,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/1896.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/308.png,,https://static.wefut.com/assets/images/nation_flag/12.jpg,70,63,69,67,23,66,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10118/lukas-hornicek,Lukas Hornicek,GK,https://wefut.com/club/1896/25,https://wefut.com/league/308/25,https://wefut.com/nation/12/25,2★,1★,,,,,,,,
20,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10116/stefan-drljaca,Stefan Drljača,66.0,GK,https://wefut.com/club/36/25,https://static.wefut.com/assets/images/fut25/clubbadges/36.png,https://wefut.com/league/19/25,https://static.wefut.com/assets/images/fut25/leaguebadges/19.png,https://wefut.com/nation/21/25,https://static.wefut.com/assets/images/nation_flag/21.jpg,68,62,55,71,31,64,3★,1★,,,,,,,,,,,,,,,,,
21,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/110242.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/54.png,,https://static.wefut.com/assets/images/nation_flag/45.jpg,71,58,62,72,51,60,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10074/jesus-ruiz,Jesús Ruiz,GK,https://wefut.com/club/110242/25,https://wefut.com/league/54/25,https://wefut.com/nation/45/25,3★,1★,,,,,,,,
22,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10066/lukas-gutlbauer,Lukas Gütlbauer,66.0,GK,https://wefut.com/club/111822/25,https://static.wefut.com/assets/images/fut25/clubbadges/111822.png,https://wefut.com/league/80/25,https://static.wefut.com/assets/images/fut25/leaguebadges/80.png,https://wefut.com/nation/4/25,https://static.wefut.com/assets/images/nation_flag/4.jpg,70,61,59,68,41,62,2★,1★,,,,,,,,,,,,,,,,,
23,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/112667.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/1014.png,,https://static.wefut.com/assets/images/nation_flag/53.jpg,64,66,60,68,27,64,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10059/carlos-adorno,Carlos Adorno,GK,https://wefut.com/club/112667/25,https://wefut.com/league/1014/25,https://wefut.com/nation/53/25,2★,1★,,,,,,,,
24,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/10057/miguel-angel-martinez,Miguel Ángel Martínez,66.0,GK,https://wefut.com/club/112716/25,https://static.wefut.com/assets/images/fut25/clubbadges/112716.png,https://wefut.com/league/1003/25,https://static.wefut.com/assets/images/fut25/leaguebadges/1003.png,https://wefut.com/nation/58/25,https://static.wefut.com/assets/images/nation_flag/58.jpg,67,66,64,63,23,65,2★,1★,,,,,,,,,,,,,,,,,
25,,,,66.0,,,https://static.wefut.com/assets/images/fut25/clubbadges/503.png,,https://static.wefut.com/assets/images/fut25/leaguebadges/2076.png,,https://static.wefut.com/assets/images/nation_flag/21.jpg,69,64,61,70,29,63,,,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9982/tim-schreiber,Tim Schreiber,GK,https://wefut.com/club/503/25,https://wefut.com/league/2076/25,https://wefut.com/nation/21/25,2★,1★,,,,,,,,
26,https://static.wefut.com/assets/images/green_plus.png,https://wefut.com/player/25/9980/tarik-cetin,Tarık Çetin,66.0,GK,https://wefut.com/club/101037/25,https://static.wefut.com/assets/images/fut25/clubbadges/101037.png,https://wefut.com/league/68/25,https://static.wefut.com/assets/images/fut25/leaguebadges/68.png,https://wefut.com/nation/48/25,https://static.wefut.com/assets/images/nation_flag/48.jpg,65,66,62,72,20,64,2★,1★,,,,,,,,,,,,,,,,,
